"PNuid_NLidu","Name_en","Nom_fr","Latitude","Longitude","satellite_dep","wo_backbone_fibre_sans_fibre_dorsale","CTI_backbone_dorsale_BPI"
5801,"Pleasant Point","Pleasant Point",44.447087,-78.701519,0,0,0
5802,"Southview Estates","Southview Estates",44.443889,-78.742777,0,0,0
5803,"Dunsford","Dunsford",44.451944,-78.642777,0,0,0
5804,"Lakeview Estates","Lakeview Estates",44.449445,-78.508055,0,0,0
5805,"Cowan's Bay","Cowan's Bay",44.335833,-78.543334,0,0,0
5806,"Cambray","Cambray",44.408611,-78.832222,0,0,0
5807,"Little Britain","Little Britain",44.285555,-78.860278,0,0,0
5808,"Cavan","Cavan",44.2,-78.469167,0,0,0
5809,"Myrtle Station","Myrtle Station",44.018056,-78.969166,0,0,0
5810,"Columbus","Columbus",43.982777,-78.910833,0,0,0
5811,"Bolsover","Bolsover",44.530277,-79.06,0,0,0
5812,"Kahshe Lake","Kahshe Lake",44.843055,-79.305833,0,0,0
5813,"Matthiasville","Matthiasville",44.991944,-79.200278,0,0,0
5814,"Muskoka Falls","Muskoka Falls",44.998056,-79.298889,0,0,0
5815,"North Bay","North Bay",46.318885,-79.470388,0,0,0
5816,"Hornell Heights","Hornell Heights",46.358332,-79.413333,0,0,0
5817,"Nipissing Junction","Nipissing Junction",46.263333,-79.399167,0,0,0
5818,"Redbridge","Redbridge",46.386111,-79.258611,0,0,0
5819,"Sturgeon Falls","Sturgeon Falls",46.366388,-79.926668,0,0,0
5820,"Cache Bay","Cache Bay",46.373333,-79.989723,0,0,0
5821,"Warren","Warren",46.443056,-80.306389,0,0,0
5822,"Verner","Verner",46.411944,-80.127221,0,0,0
5823,"Field","Field",46.523333,-80.025834,0,0,0
5824,"Markstay","Markstay",46.48811,-80.536185,0,0,0
5825,"St. Charles","St. Charles",46.363056,-80.417778,0,0,1
5826,"Noëlville","Noëlville",46.137421,-80.431094,0,0,0
5827,"Loring","Loring",45.932778,-79.994445,0,0,0
5828,"Port Loring","Port Loring",45.916111,-79.983612,0,0,0
5829,"Arnstein","Arnstein",45.921667,-79.933056,0,0,0
5830,"Restoule","Restoule",46.027777,-79.718888,0,0,0
5831,"Alban","Alban",46.104999,-80.622499,0,0,0
5832,"Jamot","Jamot",46.104167,-80.569999,0,0,0
5833,"French River","French River",46.022223,-80.571666,0,0,0
5834,"Pickerel","Pickerel",45.975,-80.533056,0,1,0
5835,"Sucker Creek Landing","Sucker Creek Landing",46.208518,-80.307775,0,0,0
5836,"Lavigne","Lavigne",46.3275,-80.170557,0,0,0
5837,"Hagar","Hagar",46.457778,-80.416112,0,0,0
5838,"Stinson","Stinson",46.519444,-80.681668,0,0,0
5839,"Wahnapitae","Wahnapitae",46.485555,-80.788056,0,0,0
5840,"Coniston","Coniston",46.490556,-80.847777,0,0,0
5841,"Falconbridge","Falconbridge",46.576666,-80.810279,0,0,0
5842,"Garson","Garson",46.555834,-80.864167,0,0,0
5843,"Sudbury","Sudbury",46.489107,-80.995291,0,0,0
5844,"Rheault","Rheault",46.407778,-80.993889,0,0,0
5845,"Azilda","Azilda",46.55,-81.114444,0,0,0
5846,"Naughton","Naughton",46.401112,-81.1925,0,0,0
5847,"Lively","Lively",46.435037,-81.148103,0,0,0
5848,"Chelmsford","Chelmsford",46.574706,-81.191896,0,0,0
5849,"Levack","Levack",46.641111,-81.391112,0,0,0
5850,"Onaping","Onaping",46.621667,-81.418055,0,0,0
5851,"Dowling","Dowling",46.591111,-81.339166,0,0,0
5852,"Hanmer","Hanmer",46.653333,-80.948612,0,0,0
5853,"Capreol","Capreol",46.704445,-80.918889,0,0,0
5854,"Val Caron","Val Caron",46.611111,-81.009999,0,0,0
5855,"Val Therese","Val Therese",46.653055,-81.005833,0,0,0
5856,"Carr's Landing","Carr's Landing",46.659273,-80.757459,0,0,0
5857,"Cryderman Subdivision","Cryderman Subdivision",46.675278,-80.747777,0,0,0
5858,"Blezard Valley","Blezard Valley",46.609167,-81.050555,0,0,0
5860,"Cartier","Cartier",46.706388,-81.553889,0,0,0
5861,"Benny","Benny",46.781944,-81.629721,0,0,0
5862,"Whitefish","Whitefish",46.380833,-81.316111,0,0,0
5863,"Traverse Landing","Traverse Landing",46.456944,-81.458056,0,0,0
5864,"Nairn Centre","Nairn Centre",46.332223,-81.581667,0,0,0
5865,"Espanola","Espanola",46.257383,-81.769552,0,0,0
5866,"Webbwood","Webbwood",46.269444,-81.888888,0,0,0
5867,"McKerrow","McKerrow",46.286944,-81.758056,0,0,0
5868,"Massey","Massey",46.211945,-82.077778,0,0,0
5869,"Walford","Walford",46.205833,-82.232499,0,0,0
5872,"Whitefish Falls","Whitefish Falls",46.111388,-81.729445,0,0,0
5873,"Little Current","Little Current",45.978612,-81.927778,0,0,0
5875,"McGregor Bay","McGregor Bay",46.085278,-81.642222,0,0,0
5876,"Killarney","Killarney",45.972251,-81.511149,0,0,0
5877,"River Valley","River Valley",46.587222,-80.1825,0,1,0
5878,"Marten River","Marten River",46.733055,-79.818055,0,0,0
5879,"Thorne","Thorne",46.700833,-79.102499,0,0,0
5880,"Hartley Bay","Hartley Bay",46.040388,-80.753456,0,0,0
5881,"Pickerel River","Pickerel River",46.00287,-80.731992,0,0,0
5882,"Key Harbour","Key Harbour",45.87824,-80.713634,0,1,0
5883,"Key River","Key River",45.894017,-80.564412,0,0,0
5884,"Henvey Inlet","Henvey Inlet",45.831258,-80.665992,0,0,0
5885,"Byng Inlet","Byng Inlet",45.762772,-80.552416,0,0,0
5886,"Britt","Britt",45.774653,-80.556396,0,0,0
5887,"Still River","Still River",45.834444,-80.555555,0,0,0
5888,"Niweme","Niweme",45.602468,-80.396795,0,0,0
5889,"Georgian Inlet","Georgian Inlet",45.623333,-80.510001,0,0,0
5890,"Bayfield Inlet","Bayfield Inlet",45.624167,-80.499721,0,0,0
5891,"Skerryvore","Skerryvore",45.53756,-80.377533,0,0,0
5892,"Pointe au Baril","Pointe au Baril",45.5593,-80.50338889,0,0,0
5893,"Dillon","Dillon",45.424999,-80.321945,0,0,1
5894,"Brooks Landing","Brooks Landing",45.432652,-80.331983,0,0,0
5895,"Snug Harbour","Snug Harbour",45.374445,-80.299444,0,0,1
5896,"Killbear Park","Killbear Park",45.355833,-80.242222,0,0,1
5897,"Shawanaga Landing","Shawanaga Landing",45.517441,-80.375855,0,0,0
5898,"Depot Harbour","Depot Harbour",45.31177,-80.091387,0,0,0
5899,"Rose Point","Rose Point",45.31361,-80.029979,0,0,0
5901,"Humphrey","Humphrey",45.279723,-79.765278,0,0,0
5902,"Falding","Falding",45.301389,-79.910833,0,0,0
5903,"Holmur","Holmur",45.301111,-79.944722,0,0,0
5904,"Port Cockburn","Port Cockburn",45.255556,-79.760556,0,0,0
5905,"Gordon Bay","Gordon Bay",45.209445,-79.793055,0,0,0
5906,"Moon River","Moon River",45.108271,-79.965685,0,0,0
5907,"Woods Bay","Woods Bay",45.142117,-79.975319,0,0,0
5908,"Moose Deer Point","Moose Deer Point",45.085165,-80.040944,0,0,0
5909,"Potters Landing","Potters Landing",44.990277,-79.812779,0,0,0
5910,"Franceville","Franceville",44.936984,-79.897007,0,0,0
5911,"Go Home","Go Home",44.995556,-79.931111,0,0,0
5912,"Manitou Dock","Manitou Dock",45.1137,-80.1086,0,0,0
5913,"Sans Souci","Sans Souci",45.1666,-80.1356,0,1,0
5914,"Harris Lake","Harris Lake",45.694444,-80.384166,0,0,0
5915,"Waubamik","Waubamik",45.451112,-80.018334,0,0,0
5916,"Dunchurch","Dunchurch",45.648611,-79.851112,0,0,0
5917,"Maple Island","Maple Island",45.698333,-79.871667,0,0,0
5918,"Whitestone","Whitestone",45.681111,-79.985001,0,1,0
5919,"Wahwashkesh","Wahwashkesh",45.713908,-80.024448,0,1,0
5920,"Ardbeg","Ardbeg",45.640833,-80.079999,0,1,0
5921,"Lost Channel","Lost Channel",45.896397,-80.325822,0,1,0
5922,"Port Carmen","Port Carmen",45.653332,-79.577222,0,0,0
5923,"Port Anson","Port Anson",45.601031,-79.630458,0,0,0
5924,"Bear Lake","Bear Lake",45.457222,-79.585833,0,0,0
5925,"Whitehall","Whitehall",45.48,-79.521388,0,0,0
5926,"Broadbent","Broadbent",45.446945,-79.835554,0,0,0
5927,"Hurdville","Hurdville",45.440833,-79.921667,0,0,0
5928,"Fairholme","Fairholme",45.565834,-79.918333,0,0,0
5929,"Lorimer Lake","Lorimer Lake",45.543889,-79.974167,0,0,0
5930,"Sprucedale","Sprucedale",45.482594,-79.456788,0,0,0
5931,"Vernon Shores","Vernon Shores",45.343303,-79.329525,0,0,0
5932,"Ilfracombe","Ilfracombe",45.404166,-79.386112,0,0,0
5933,"Centurion","Centurion",45.405555,-79.317499,0,0,0
5934,"Melissa","Melissa",45.4125,-79.241111,0,0,0
5935,"Ravenscliffe","Ravenscliffe",45.362221,-79.281111,0,0,0
5936,"Norvern Shores","Norvern Shores",45.323591,-79.328021,0,0,0
5937,"Clear Lake","Clear Lake",45.503333,-79.267778,0,0,0
5938,"Swindon","Swindon",45.487778,-79.183611,0,0,0
5939,"Katrine","Katrine",45.576388,-79.356667,0,0,0
5940,"Kearney","Kearney",45.56183,-79.221597,0,0,0
5941,"Pickerel Lake","Pickerel Lake",45.665675,-79.292736,0,0,0
5942,"Lake Bernard","Lake Bernard",45.701944,-79.396666,0,0,0
5943,"Miller Lake West","Miller Lake West",45.095278,-81.402499,0,0,0
5944,"Miller Lake East","Miller Lake East",45.109559,-81.386856,0,0,0
5945,"Stokes Bay","Stokes Bay",45.002778,-81.3675,0,0,0
5946,"Ferndale","Ferndale",44.9725,-81.288334,0,0,0
5947,"Dyer's Bay","Dyer's Bay",45.163055,-81.33889,0,0,0
5948,"Big Bay","Big Bay",44.790556,-80.947778,0,0,0
5949,"Juddhaven","Juddhaven",45.194996,-79.605618,0,0,0
5950,"Minett","Minett",45.164445,-79.65,0,0,0
5951,"Windermere","Windermere",45.166111,-79.551389,0,0,0
5952,"Glen Orchard","Glen Orchard",45.095001,-79.639166,0,0,0
5953,"Port Sandfield","Port Sandfield",45.116388,-79.617777,0,0,0
5954,"Raymond","Raymond",45.201667,-79.428888,0,0,0
5955,"Inverness Lodge","Inverness Lodge",45.1775,-79.485555,0,0,0
5956,"Dee Bank","Dee Bank",45.179722,-79.523056,0,0,0
5957,"Whiteside","Whiteside",45.064983,-79.604516,0,0,0
